repo,package,release_tag,release_name,release_date_utc,asset_original_name,saved_filename,download_url,content_type,size_bytes
gsantner/markor,gsantner_markor,v2.10.2,v2.10.2,2022-08-17T13:59:17+00:00,net.gsantner.markor-v138-2.10.2-flavorDefault-release.apk,v2.10.2.apk,https://github.com/gsantner/markor/releases/download/v2.10.2/net.gsantner.markor-v138-2.10.2-flavorDefault-release.apk,application/vnd.android.package-archive,10550928
gsantner/markor,gsantner_markor,v2.10.1,Markor v2.10.1,2022-08-06T13:16:50+00:00,net.gsantner.markor-v134-2.10.1-flavorDefault-release.apk,Markor_v2.10.1_net.gsantner.markor-v134-2.10.1-flavorDefault-release.apk,https://github.com/gsantner/markor/releases/download/v2.10.1/net.gsantner.markor-v134-2.10.1-flavorDefault-release.apk,application/vnd.android.package-archive,8067103
gsantner/markor,gsantner_markor,v2.10.1,Markor v2.10.1,2022-08-06T13:16:50+00:00,net.gsantner.markor-v134-2.10.1-release-experimental-sdk33-androidx.apk,Markor_v2.10.1_net.gsantner.markor-v134-2.10.1-release-experimental-sdk33-androidx.apk,https://github.com/gsantner/markor/releases/download/v2.10.1/net.gsantner.markor-v134-2.10.1-release-experimental-sdk33-androidx.apk,application/vnd.android.package-archive,10545206
gsantner/markor,gsantner_markor,v2.10.0,Markor v2.10.0,2022-07-16T10:14:47+00:00,net.gsantner.markor-v133-2.10.0-flavorDefault-release.apk,Markor_v2.10.0.apk,https://github.com/gsantner/markor/releases/download/v2.10.0/net.gsantner.markor-v133-2.10.0-flavorDefault-release.apk,application/vnd.android.package-archive,8075427
gsantner/markor,gsantner_markor,v2.9.0,Markor v2.9.0,2022-05-15T02:21:56+00:00,net.gsantner.markor-v132-2.9.0-flavorDefault-release.apk,Markor_v2.9.0.apk,https://github.com/gsantner/markor/releases/download/v2.9.0/net.gsantner.markor-v132-2.9.0-flavorDefault-release.apk,application/vnd.android.package-archive,8031827
gsantner/markor,gsantner_markor,v2.8.5,v2.8.5,2022-01-09T18:19:39+00:00,net.gsantner.markor-v129-2.8.5-flavorDefault-release.apk,v2.8.5.apk,https://github.com/gsantner/markor/releases/download/v2.8.5/net.gsantner.markor-v129-2.8.5-flavorDefault-release.apk,application/vnd.android.package-archive,7677803
gsantner/markor,gsantner_markor,v2.8.1,v2.8.1,2021-10-08T20:16:28+00:00,net.gsantner.markor-v125-2.8.1-flavorDefault-release.apk,v2.8.1.apk,https://github.com/gsantner/markor/releases/download/v2.8.1/net.gsantner.markor-v125-2.8.1-flavorDefault-release.apk,application/vnd.android.package-archive,7831516
gsantner/markor,gsantner_markor,v2.7.0,,2021-06-25T23:09:21+00:00,net.gsantner.markor-v123-2.7.0-flavorGplay-release.apk,v2.7.0.apk,https://github.com/gsantner/markor/releases/download/v2.7.0/net.gsantner.markor-v123-2.7.0-flavorGplay-release.apk,application/vnd.android.package-archive,7780753
gsantner/markor,gsantner_markor,v2.6.0,v2.6.0,2021-02-28T20:28:26+00:00,net.gsantner.markor-v122-2.6.0-flavorGplay-release.apk,v2.6.0.apk,https://github.com/gsantner/markor/releases/download/v2.6.0/net.gsantner.markor-v122-2.6.0-flavorGplay-release.apk,application/vnd.android.package-archive,7636245
gsantner/markor,gsantner_markor,v2.5.0,v2.5.0,2020-12-20T19:12:19+00:00,net.gsantner.markor-v121-2.5.0-flavorGplay-release.apk,v2.5.0.apk,https://github.com/gsantner/markor/releases/download/v2.5.0/net.gsantner.markor-v121-2.5.0-flavorGplay-release.apk,application/vnd.android.package-archive,7566424
gsantner/markor,gsantner_markor,v2.4.0,v2.4.0,2020-10-30T19:26:08+00:00,net.gsantner.markor-v119-2.4.0-flavorDefault-release.apk,v2.4.0.apk,https://github.com/gsantner/markor/releases/download/v2.4.0/net.gsantner.markor-v119-2.4.0-flavorDefault-release.apk,application/vnd.android.package-archive,7489915
